event_date,event_type,description,source,created_at
2025-12-16T11:04:07Z,other,Gemini North tracks changing glow of interstellar Comet 3IATLAS,Spaceflight News API,2025-12-23T12:10:13.957409
2025-12-16T11:00:43Z,other,MAVEN telemetry shows changes to spacecraft orbit and rotation,Spaceflight News API,2025-12-23T12:10:13.957437
2025-12-16T10:36:14Z,launch,SpaceX advances Starbase upgrades at the launch site,Spaceflight News API,2025-12-23T12:10:13.957458
2025-12-16T06:00:14Z,launch,Callisto Ground Support Robot Ready for Shipment,Spaceflight News API,2025-12-23T12:10:13.957669
2025-12-16T05:00:00Z,other,A Subtle Return of La Niña,Spaceflight News API,2025-12-23T12:10:13.957697
2025-12-15T22:14:19Z,launch,Rocket Lab to launch second of three planned Electron rockets this week,Spaceflight News API,2025-12-23T12:10:13.957718
2025-12-15T21:27:29Z,policy_or_corporate,Space Force uses AI challenge to push everyday use of artificial intelligence,Spaceflight News API,2025-12-23T12:10:13.957743
2025-12-15T19:31:53Z,policy_or_corporate,NextSTEP-3 B: Moon to Mars Architecture Studies,Spaceflight News API,2025-12-23T12:10:13.957773
2025-12-15T18:53:55Z,launch,Beyond the ground station: Why space data centers require a distributed RAID,Spaceflight News API,2025-12-23T12:10:13.957796
2025-12-15T18:43:03Z,satellite_deployment,NASA to test SpaceX’s Starshield in pilot program,Spaceflight News API,2025-12-23T12:10:13.957818
2025-12-15T17:30:20Z,other,"Bassac River, Southern Vietnam",Spaceflight News API,2025-12-23T12:10:13.957845
2025-12-15T17:02:18Z,other,GomSpace to provide RF subsystem for Apolink LEO relay demonstrator,Spaceflight News API,2025-12-23T12:10:13.957871
2025-12-15T16:47:12Z,launch,Live coverage: ULA Atlas 5 launch will put Amazon’s 180th broadband satellite in low Earth orbit,Spaceflight News API,2025-12-23T12:10:13.957890
2025-12-15T16:44:01Z,other,"Oh look, yet another Starship clone has popped up in China",Spaceflight News API,2025-12-23T12:10:13.957911
2025-12-15T15:21:00Z,other,XRISM sees comet 3I/ATLAS in X-ray light,Spaceflight News API,2025-12-23T12:10:13.957930
2025-12-15T15:00:00Z,other,NASA’s Roman Telescope Will Observe Thousands of Newfound Cosmic Voids,Spaceflight News API,2025-12-23T12:10:13.957958
2025-12-15T15:00:00Z,launch,ESA highlights 2025,Spaceflight News API,2025-12-23T12:10:13.957978
2025-12-15T14:47:01Z,policy_or_corporate,Why the Space Force says 2025 changes everything,Spaceflight News API,2025-12-23T12:10:13.958005
2025-12-15T14:26:59Z,launch,Starfish Space announce Autonomous Rendezvous and Proximity mission success with Impulse Space,Spaceflight News API,2025-12-23T12:10:13.958026
2025-12-15T14:00:00Z,other,Starfish Space and Impulse Space demonstrate autonomous spacecraft proximity operations,Spaceflight News API,2025-12-23T12:10:13.958052
2025-12-15T13:41:00Z,policy_or_corporate,Gaia finds hints of planets in baby star systems,Spaceflight News API,2025-12-23T12:10:13.958076
2025-12-15T13:36:00Z,launch,20 years in Antarctica,Spaceflight News API,2025-12-23T12:10:13.958099
2025-12-15T13:00:00Z,other,MetaSeismic material mitigates vibration and shock in NASA Marshall testing,Spaceflight News API,2025-12-23T12:10:13.958134
2025-12-15T12:01:07Z,other,Indian dance mudras yield advanced synergies for robotic hand control,Spaceflight News API,2025-12-23T12:10:13.958165
2025-12-15T10:00:00Z,launch,Unexpected Trajectory: Erin Sholl’s Path to Human Spaceflight Safety,Spaceflight News API,2025-12-23T12:10:13.958188
2025-12-15T09:00:00Z,launch,Satellites help tackle landfill methane leaks,Spaceflight News API,2025-12-23T12:10:13.958211
2025-12-15T06:07:59Z,security_event,Kongsberg and Helsing to Develop Large Defence Satellite Constellation,Spaceflight News API,2025-12-23T12:10:13.958233
2025-12-15T05:01:00Z,other,New Timing for Stubble Burning in India,Spaceflight News API,2025-12-23T12:10:13.958256
2025-12-14T23:19:24Z,launch,"Roman telescope construction complete, moving into final testing ahead of 2027 launch",Spaceflight News API,2025-12-23T12:10:13.958276
2025-12-14T22:59:48Z,other,"What’s Happening in Space Policy December 14-31, 2025",Spaceflight News API,2025-12-23T12:10:13.958300
2025-12-14T18:21:00Z,launch,Live coverage: SpaceX to launch 29 Starlink satellites on Falcon 9 rocket from the Kennedy Space Center,Spaceflight News API,2025-12-23T12:10:13.958320
2025-12-14T16:53:31Z,launch,Live coverage: SpaceX to launch 29 Starlink satellites on Falcon 9 rocket from Cape Canaveral,Spaceflight News API,2025-12-23T12:10:13.958340
2025-12-14T13:34:01Z,launch,Rocket Lab launches JAXA tech demo satellite,Spaceflight News API,2025-12-23T12:10:13.958359
2025-12-14T13:13:22Z,other,Bible 1.0: How Ancient Canon Became Our First Large Language Models,Spaceflight News API,2025-12-23T12:10:13.958385
2025-12-14T03:47:52Z,launch,New MAGE model links solar storms to geospace response,Spaceflight News API,2025-12-23T12:10:13.958406
2025-12-14T03:47:52Z,launch,Mission Space to fly second space weather payload with Rogue Space,Spaceflight News API,2025-12-23T12:10:13.958427
2025-12-14T03:47:52Z,policy_or_corporate,Hidden circumbinary giant planet emerges from decade old Gemini data,Spaceflight News API,2025-12-23T12:10:13.958455
2025-12-14T03:47:52Z,other,Quasar X ray link to black hole environment found to evolve over cosmic time,Spaceflight News API,2025-12-23T12:10:13.958483
2025-12-14T03:47:52Z,policy_or_corporate,Maven stays silent after routine pass behind Mars,Spaceflight News API,2025-12-23T12:10:13.958511
2025-12-14T03:47:52Z,launch,China launches carrier rocket to deploy experimental cargo ship and satellite,Spaceflight News API,2025-12-23T12:10:13.958531
2025-12-14T03:47:52Z,other,NASA's Parker Solar Probe Spies Solar Wind 'U-Turn',Spaceflight News API,2025-12-23T12:10:13.958559
2025-12-14T03:47:52Z,policy_or_corporate,Roman infrared survey to chart hidden structure of Milky Way,Spaceflight News API,2025-12-23T12:10:13.958588
2025-12-14T03:47:52Z,policy_or_corporate,Ancient Martian brines left bromine rich fingerprints in jarosite minerals,Spaceflight News API,2025-12-23T12:10:13.958616
2025-12-14T03:47:52Z,other,Sun boundary map tracks shifting Alfven surface over solar cycle,Spaceflight News API,2025-12-23T12:10:13.958645
2025-12-14T03:47:52Z,other,Micro X ray method reads ancient meteorite impact scars,Spaceflight News API,2025-12-23T12:10:13.958674
2025-12-14T03:47:52Z,policy_or_corporate,Ultra hot super Earth shows dense atmosphere over magma ocean,Spaceflight News API,2025-12-23T12:10:13.958703
2025-12-14T03:47:52Z,launch,K2 Space raises 250m to scale Mega class high power satellites,Spaceflight News API,2025-12-23T12:10:13.958724
2025-12-13T14:51:35Z,other,SpaceX executive confirms interest in an IPO,Spaceflight News API,2025-12-23T12:10:13.958752
2025-12-13T14:14:13Z,launch,Live coverage: SpaceX aims for 550th booster landing amid Saturday night flight,Spaceflight News API,2025-12-23T12:10:13.958778
2025-12-13T13:23:11Z,launch,Blue Origin halfway through 4-flight certification to allow launch of national security missions,Spaceflight News API,2025-12-23T12:10:13.958797
2025-12-13T03:09:07Z,launch,SpaceX Roberts Road a focal point for East Coast Starship preparations,Spaceflight News API,2025-12-23T12:10:13.958859
2025-12-12T20:28:16Z,launch,NASA Astronaut Jonny Kim to Discuss Eight-Month Space Station Mission,Spaceflight News API,2025-12-23T12:10:13.958930
2025-12-12T19:54:24Z,satellite_deployment,Intuitive Machines and Telespazio to collaborate on lunar satellite networks,Spaceflight News API,2025-12-23T12:10:13.958969
2025-12-12T17:52:28Z,other,"NASA’s Webb, Curiosity Named in TIME’s Best Inventions Hall of Fame",Spaceflight News API,2025-12-23T12:10:13.959007
2025-12-12T17:48:49Z,satellite_deployment,"Study: Current, future megaconstellations risk space-based astronomy",Spaceflight News API,2025-12-23T12:10:13.959035
2025-12-12T17:38:45Z,launch,China plans 2026 debut of new rocket for crewed lunar and LEO missions,Spaceflight News API,2025-12-23T12:10:13.959060
2025-12-12T15:18:51Z,policy_or_corporate,A Rare Gourd,Spaceflight News API,2025-12-23T12:10:13.959089
2025-12-12T15:17:45Z,policy_or_corporate,Space Force Association unveils virtual ‘National Spacepower Center’ for education and wargaming,Spaceflight News API,2025-12-23T12:10:13.959118
2025-12-12T15:00:00Z,policy_or_corporate,NASA Announces Plan to Map Milky Way With Roman Space Telescope,Spaceflight News API,2025-12-23T12:10:13.959149
2025-12-12T14:15:00Z,other,Week in images: 08-12 December 2025,Spaceflight News API,2025-12-23T12:10:13.959172
2025-12-12T14:00:00Z,other,"Pablo Álvarez Fernández | Spacesuits, Survival & Spacewalk Dreams | ESA Explores #18",Spaceflight News API,2025-12-23T12:10:13.959210
2025-12-12T14:00:00Z,other,XMM-Newton sees comet 3I/ATLAS in X-ray light,Spaceflight News API,2025-12-23T12:10:13.959232
2025-12-12T13:00:00Z,satellite_deployment,The European space industry’s big merger: lessons for emerging space nations,Spaceflight News API,2025-12-23T12:10:13.959261
2025-12-12T12:40:46Z,launch,NASA advances heliophysics mission into next phase,Spaceflight News API,2025-12-23T12:10:13.959282
2025-12-12T12:00:49Z,launch,"Rocket Report: Neutron’s Hungry Hippo is deemed ready, Whither Orbex?",Spaceflight News API,2025-12-23T12:10:13.959302
2025-12-12T12:00:00Z,satellite_deployment,Massive Stars Make Their Mark in Hubble Image,Spaceflight News API,2025-12-23T12:10:13.959328
2025-12-12T11:24:45Z,policy_or_corporate,Robotic welding project to prepare UK for in orbit repairs,Spaceflight News API,2025-12-23T12:10:13.959359
2025-12-12T11:24:45Z,other,Shaping quantum light expands options for future technologies,Spaceflight News API,2025-12-23T12:10:13.959390
2025-12-12T11:24:45Z,other,Quantum hardware roadmap highlights scaling hurdles on path to everyday applications,Spaceflight News API,2025-12-23T12:10:13.959422
2025-12-12T11:24:45Z,satellite_deployment,Secure ESA contract advances GomSpace satellite cybersecurity,Spaceflight News API,2025-12-23T12:10:13.959448
2025-12-12T11:24:45Z,launch,Antares lines up $96 million to advance microreactor rollout,Spaceflight News API,2025-12-23T12:10:13.959470
2025-12-12T11:24:45Z,other,NASA refines aircraft icing safety modeling with GlennICE software,Spaceflight News API,2025-12-23T12:10:13.959502
2025-12-12T11:24:45Z,launch,Sidus Space to host MobLobSpace radar payload on LizzieSat for NASA debris tracking study,Spaceflight News API,2025-12-23T12:10:13.959526
2025-12-12T11:24:45Z,launch,IHI SAT2 hyperspectral CubeSat enters orbit to support forest monitoring and carbon data,Spaceflight News API,2025-12-23T12:10:13.959547
2025-12-12T11:24:45Z,satellite_deployment,Gilat wins 10 million dollar order for transportable direct downlink earth observation system,Spaceflight News API,2025-12-23T12:10:13.959572
2025-12-12T11:00:00Z,ground_infrastructure,$106B Ground Segment Market Enters Service‑Driven Era,Spaceflight News API,2025-12-23T12:10:13.959597
2025-12-12T10:32:00Z,launch,Watch live: Galileo launch on Ariane 6,Spaceflight News API,2025-12-23T12:10:13.959619
2025-12-12T09:00:00Z,other,"Earth from Space: Pariacaca Mountain Range, Peru",Spaceflight News API,2025-12-23T12:10:13.959640
2025-12-12T08:19:02Z,launch,"China launches new Guowang satellites, Long March 12A launch and landing attempt date set",Spaceflight News API,2025-12-23T12:10:13.959660
2025-12-12T06:00:39Z,launch,Avio Selects Virginia for New $500 Million US-Based Production Facility,Spaceflight News API,2025-12-23T12:10:13.959686
2025-12-12T05:00:00Z,other,Pacific Moisture Drenches the U.S. Northwest,Spaceflight News API,2025-12-23T12:10:13.959708
2025-12-12T04:51:40Z,launch,NASA astrophysics director offers optimistic vision despite budget uncertainty,Spaceflight News API,2025-12-23T12:10:13.959731
2025-12-12T00:30:00Z,launch,Space Force rolls out new naming scheme for satellites and space weapons,Spaceflight News API,2025-12-23T12:10:13.959752
2025-12-12T00:17:30Z,launch,"All eight ISS docking ports occupied for the first time, Expedition 74 begins",Spaceflight News API,2025-12-23T12:10:13.959773
2025-12-12T00:00:00Z,other,U.S. Air Force Secretary warns China’s space gains are driven by more than copying,Spaceflight News API,2025-12-23T12:10:13.959800
2025-12-11T22:28:24Z,satellite_deployment,2025: The Turning Point for Satellite Operators,Spaceflight News API,2025-12-23T12:10:13.959824
2025-12-11T21:18:20Z,launch,NASA Selects Two Heliophysics Missions for Continued Development,Spaceflight News API,2025-12-23T12:10:13.959847
2025-12-11T19:33:26Z,policy_or_corporate,SpaceX IPO plan sets stage for a surge of other space listings,Spaceflight News API,2025-12-23T12:10:13.959873
2025-12-11T19:00:35Z,launch,"NASA Works with Boeing, Other Collaborators Toward More Efficient Global Flights",Spaceflight News API,2025-12-23T12:10:13.959896
2025-12-11T18:51:11Z,other,NASA’s Chandra Finds Small Galaxies May Buck the Black Hole Trend,Spaceflight News API,2025-12-23T12:10:13.959925
2025-12-11T16:22:52Z,satellite_deployment,K2 Space raises $250 million to scale high-power satellite line,Spaceflight News API,2025-12-23T12:10:13.959947
2025-12-11T16:06:51Z,other,NASA’s Parker Solar Probe Spies Solar Wind ‘U-Turn’,Spaceflight News API,2025-12-23T12:10:13.959976
2025-12-11T15:58:20Z,other,Stellar Jet,Spaceflight News API,2025-12-23T12:10:13.960004
2025-12-11T15:10:10Z,satellite_deployment,BAE Systems wins $16 million DARPA award to advance autonomous satellite tasking,Spaceflight News API,2025-12-23T12:10:13.960027
2025-12-11T15:00:00Z,policy_or_corporate,NASA’s Webb Detects Thick Atmosphere Around Broiling Lava World,Spaceflight News API,2025-12-23T12:10:13.960056
2025-12-11T14:50:53Z,policy_or_corporate,Building the future of space defense,Spaceflight News API,2025-12-23T12:10:13.960082
2025-12-11T14:46:33Z,launch,The Exploration Company is Developing an In-Orbit Serving Vehicle,Spaceflight News API,2025-12-23T12:10:13.960109
2025-12-11T14:00:00Z,policy_or_corporate,The U.S. race to the moon: Why Plan B cannot wait,Spaceflight News API,2025-12-23T12:10:13.960141
2025-12-11T14:00:00Z,satellite_deployment,Enduralock Validates OneLink™ Prototype in Zero-G Simulation,Spaceflight News API,2025-12-23T12:10:13.960166
2025-12-11T13:00:00Z,other,The journey of Juice – episode 2,Spaceflight News API,2025-12-23T12:10:13.960190
2025-12-11T09:22:02Z,launch,Report identifies science objectives of human Mars exploration,Spaceflight News API,2025-12-23T12:10:13.960211
2025-12-11T09:00:00Z,launch,Swarm detects rare proton spike during solar storm,Spaceflight News API,2025-12-23T12:10:13.960234
2025-12-11T08:58:00Z,launch,Space-enabled air traffic control takes flight globally,Spaceflight News API,2025-12-23T12:10:13.960257
2025-12-11T08:45:02Z,launch,Triple Long March launches mark record day for Chinese space program,Spaceflight News API,2025-12-23T12:10:13.960278
2025-12-11T08:45:02Z,launch,"NASA JPL Unveils Rover Operations Center for Moon, Mars Missions",Spaceflight News API,2025-12-23T12:10:13.960301
2025-12-11T08:45:02Z,launch,China prepares Qingzhou cargo ship for low cost resupply flights,Spaceflight News API,2025-12-23T12:10:13.960324
2025-12-11T08:45:02Z,other,ICE-CSIC leads a pioneering study on the feasibility of asteroid mining,Spaceflight News API,2025-12-23T12:10:13.960356
2025-12-11T08:45:02Z,other,Thorium plated steel points to smaller nuclear clocks,Spaceflight News API,2025-12-23T12:10:13.960386
2025-12-11T08:45:02Z,policy_or_corporate,Uranus and Neptune may be rock rich worlds,Spaceflight News API,2025-12-23T12:10:13.960415
2025-12-11T08:45:02Z,other,Leading the Odds: Five Bookmakers Transforming Ireland's Modern Betting Landscape,Spaceflight News API,2025-12-23T12:10:13.960442
2025-12-11T08:45:02Z,policy_or_corporate,Overview Energy debuts airborne power beaming milestone for space based solar power,Spaceflight News API,2025-12-23T12:10:13.960472
2025-12-11T08:45:02Z,other,Solar ghost particles seen flipping carbon atoms in underground detector,Spaceflight News API,2025-12-23T12:10:13.960503
2025-12-11T08:45:02Z,other,Lunar dust study links space weathering to changes in Moon ultraviolet brightness,Spaceflight News API,2025-12-23T12:10:13.960535
2025-12-11T08:45:02Z,other,Experts at Hainan symposium call for stronger global space partnership,Spaceflight News API,2025-12-23T12:10:13.960566
2025-12-11T08:45:02Z,launch,Foreign satellites ride Kinetica 1 on new CAS Space mission,Spaceflight News API,2025-12-23T12:10:13.960587
2025-12-11T08:45:02Z,other,Star wobble reveals black hole dragging spacetime,Spaceflight News API,2025-12-23T12:10:13.960617
2025-12-11T05:01:00Z,other,An Unrelenting Tule Fog,Spaceflight News API,2025-12-23T12:10:13.960640
2025-12-11T03:37:38Z,launch,Blue Origin’s Cape Campus continues to expand ahead of New Glenn ramp-up,Spaceflight News API,2025-12-23T12:10:13.960660
2025-12-11T02:15:26Z,satellite_deployment,"GEO satellite refueling a priority for national security, commercial markets, new analysis finds",Spaceflight News API,2025-12-23T12:10:13.960681
2025-12-11T01:36:43Z,launch,Live coverage: SpaceX to launch 29 Starlink satellites on Falcon 9 rocket from Cape Canaveral,Spaceflight News API,2025-12-23T12:10:13.960700
2025-12-11T00:47:03Z,launch,"NASA JPL Unveils Rover Operations Center for Moon, Mars Missions",Spaceflight News API,2025-12-23T12:10:13.960722
2025-12-11T00:40:03Z,other,Chinese Spacewalkers Inspect Damaged Shenzhou-20 Window,Spaceflight News API,2025-12-23T12:10:13.960747
2025-12-11T00:31:30Z,security_event,L3Harris satellite-jamming system approved for export to close U.S. allies,Spaceflight News API,2025-12-23T12:10:13.960763
2025-12-10T23:30:29Z,launch,Blue Origin targets four-flight campaign for New Glenn’s path to Space Force certification,Spaceflight News API,2025-12-23T12:10:13.960785
2025-12-10T23:16:52Z,launch,"After years of resisting it, SpaceX now plans to go public. Why?",Spaceflight News API,2025-12-23T12:10:13.960803
2025-12-10T21:00:00Z,policy_or_corporate,Voyager wins $21 million Air Force contract for AI-driven signals processing,Spaceflight News API,2025-12-23T12:10:13.960824
2025-12-10T20:58:39Z,policy_or_corporate,Multiple space companies join NATO’s DIANA defense accelerator,Spaceflight News API,2025-12-23T12:10:13.960849
2025-12-10T20:50:03Z,launch,25 Years of Space Station Technology Driving Exploration,Spaceflight News API,2025-12-23T12:10:13.960871
2025-12-10T20:46:08Z,other,"Delivering the next generation of cloud-native, multi-orbit ground systems",Spaceflight News API,2025-12-23T12:10:13.960899
2025-12-10T19:16:12Z,launch,GLOBE Expands with Landsat Land Cover Comparisons,Spaceflight News API,2025-12-23T12:10:13.960917
2025-12-10T18:13:52Z,launch,"After key Russian launch site is damaged, NASA accelerates Dragon supply missions",Spaceflight News API,2025-12-23T12:10:13.960935
2025-12-10T17:44:55Z,launch,Helsing and Kongsberg plot multi-mission European defense space network,Spaceflight News API,2025-12-23T12:10:13.960956
2025-12-10T17:36:52Z,launch,"China launches new TJS satellite, commercial Kinetica-1 lofts 9 spacecraft",Spaceflight News API,2025-12-23T12:10:13.960975
2025-12-10T17:36:51Z,satellite_deployment,"Colliding space debris produces radio bursts, raising prospect of ‘debris weather’ alerts",Spaceflight News API,2025-12-23T12:10:13.961001
2025-12-10T17:23:15Z,launch,Odin Space raises $3 million in seed funding,Spaceflight News API,2025-12-23T12:10:13.961023
2025-12-10T16:02:59Z,other,NASA Astronaut Jonny Kim Returns to Earth,Spaceflight News API,2025-12-23T12:10:13.961050
2025-12-10T14:00:00Z,launch,How multi-agent AI can strengthen space missions against the unknown,Spaceflight News API,2025-12-23T12:10:13.961073
2025-12-10T13:00:00Z,launch,Benchmark demonstrates high-throughput ASCENT thruster in hotfire testing at Edwards Air Force Base,Spaceflight News API,2025-12-23T12:10:13.961098
2025-12-10T12:53:17Z,policy_or_corporate,NASA loses contact with MAVEN Mars orbiter,Spaceflight News API,2025-12-23T12:10:13.961122
2025-12-10T12:05:30Z,policy_or_corporate,Overview Energy demonstrates technologies for space solar power,Spaceflight News API,2025-12-23T12:10:13.961146
2025-12-10T11:37:00Z,satellite_deployment,Shine bright like a satellite,Spaceflight News API,2025-12-23T12:10:13.961164
2025-12-10T10:49:13Z,security_event,LEO internet satellites bolster navigation where GPS is weak,Spaceflight News API,2025-12-23T12:10:13.961181
2025-12-10T10:49:13Z,launch,Space shuttle design study maps path to breakthrough inventions,Spaceflight News API,2025-12-23T12:10:13.961201
2025-12-10T10:49:13Z,satellite_deployment,SLI and AscendArc agree on 200 million GEO satellite leasing framework,Spaceflight News API,2025-12-23T12:10:13.961225
2025-12-10T10:49:13Z,launch,MIT engineers design an aerial microrobot that can fly as fast as a bumblebee,Spaceflight News API,2025-12-23T12:10:13.961246
2025-12-10T10:49:13Z,policy_or_corporate,MDA Space plans C250 million senior unsecured note issue maturing 2030,Spaceflight News API,2025-12-23T12:10:13.961273
2025-12-10T10:49:13Z,launch,Canadian radar satellite contract positions MDA Space for RADARSAT replenishment role,Spaceflight News API,2025-12-23T12:10:13.961295
2025-12-10T10:00:00Z,launch,Funding boost unlocks future space science programme,Spaceflight News API,2025-12-23T12:10:13.961317
2025-12-10T07:49:43Z,launch,ESA Publishes Call for Crew Launch Abort System,Spaceflight News API,2025-12-23T12:10:13.961337
2025-12-10T03:40:16Z,policy_or_corporate,Human Exploration of Mars Gets a Science Strategy,Spaceflight News API,2025-12-23T12:10:13.961360
2025-12-10T00:52:58Z,launch,Live coverage: SpaceX to launch 160th Falcon 9 rocket of 2025,Spaceflight News API,2025-12-23T12:10:13.961382
2025-12-09T21:58:39Z,policy_or_corporate,NASA Demonstrates Safer Skies for Future Urban Air Travel,Spaceflight News API,2025-12-23T12:10:13.961410
2025-12-09T21:54:14Z,launch,What a Blast! NASA Langley Begins Plume-Surface Interaction Tests,Spaceflight News API,2025-12-23T12:10:13.961432
2025-12-09T21:48:27Z,launch,Lunar Outpost’s MAPP Rovers: From Commercial Exploration to Artemis Integration,Spaceflight News API,2025-12-23T12:10:13.961453
2025-12-09T21:07:55Z,other,Painting Galaxy Clusters by Numbers (and Physics),Spaceflight News API,2025-12-23T12:10:13.961481
2025-12-09T19:07:28Z,launch,Chinese astronauts inspect debris-damaged Shenzhou-20 spacecraft during spacewalk,Spaceflight News API,2025-12-23T12:10:13.961502
2025-12-09T18:24:11Z,other,Sprites Over Château de Beynac,Spaceflight News API,2025-12-23T12:10:13.961529
2025-12-09T18:13:48Z,satellite_deployment,Canada picks Telesat and MDA to study Arctic military communications constellation,Spaceflight News API,2025-12-23T12:10:13.961551
2025-12-09T17:08:15Z,policy_or_corporate,New NASA Sensor Goes Hunting for Critical Minerals,Spaceflight News API,2025-12-23T12:10:13.961578
2025-12-09T16:21:17Z,launch,SCHOTT launches high-performance cover glass for next-generation space solar cells,Spaceflight News API,2025-12-23T12:10:13.961599
2025-12-09T16:00:25Z,other,"In a major new report, scientists build rationale for sending astronauts to Mars",Spaceflight News API,2025-12-23T12:10:13.961620
2025-12-09T16:00:00Z,other,Webb identifies earliest supernova to date,Spaceflight News API,2025-12-23T12:10:13.961651
2025-12-09T15:00:00Z,policy_or_corporate,How Louisiana Native Turned Childhood Wonder into NASA Stennis Career,Spaceflight News API,2025-12-23T12:10:13.961678
2025-12-09T15:00:00Z,other,TrustPoint sets 2027 target for initial rollout of LEO-based navigation services,Spaceflight News API,2025-12-23T12:10:13.961704
2025-12-09T14:35:37Z,launch,Live coverage: SpaceX to launch classified payload for the National Reconnaissance Office,Spaceflight News API,2025-12-23T12:10:13.961724
2025-12-09T14:01:00Z,security_event,LeoLabs lands interagency contract to feed TraCSS and track adversarial spacecraft,Spaceflight News API,2025-12-23T12:10:13.961743
2025-12-09T14:00:00Z,policy_or_corporate,America must stop treating China’s lunar plans as a footrace,Spaceflight News API,2025-12-23T12:10:13.961773
2025-12-09T13:41:46Z,launch,Soyuz safely lands in Kazakhstan,Spaceflight News API,2025-12-23T12:10:13.961792
2025-12-09T12:59:40Z,launch,Finland’s ICEYE Closes €150 Million Series E Funding Round,Spaceflight News API,2025-12-23T12:10:13.961817
2025-12-09T12:11:59Z,security_event,Muon Space to develop sensor payload for missile defense satellites,Spaceflight News API,2025-12-23T12:10:13.961834
2025-12-09T12:04:41Z,other,Space-based solar power startup Aetherflux enters orbital data center race,Spaceflight News API,2025-12-23T12:10:13.961861
2025-12-09T11:57:32Z,other,The bacteria that wont wake up found in spacecraft cleanrooms,Spaceflight News API,2025-12-23T12:10:13.961890
2025-12-09T11:57:32Z,launch,NASA to test commercial robotic arm in orbit to advance in space construction,Spaceflight News API,2025-12-23T12:10:13.961909
2025-12-09T11:57:32Z,other,KATRIN experiment rules out favored light sterile neutrino region,Spaceflight News API,2025-12-23T12:10:13.961938
2025-12-09T11:57:32Z,launch,Sea based rocket net recovery platform enters service for Chinese reusable launchers,Spaceflight News API,2025-12-23T12:10:13.961958
2025-12-09T11:57:32Z,satellite_deployment,Lodestar Space wins SECP support to advance AI satellite awareness system,Spaceflight News API,2025-12-23T12:10:13.961981
2025-12-09T11:57:32Z,policy_or_corporate,Space debris looms over Google's ambitious orbital AI data center plan,Spaceflight News API,2025-12-23T12:10:13.962009
2025-12-09T11:57:32Z,security_event,Applied Aerospace and PCX create US flight and space hardware group,Spaceflight News API,2025-12-23T12:10:13.962027
2025-12-09T11:06:05Z,security_event,"China launches 4 times in 4 days, boosting megaconstellation and surveillance assets",Spaceflight News API,2025-12-23T12:10:13.962046
2025-12-09T11:00:00Z,launch,Galileo pre-launch media briefing,Spaceflight News API,2025-12-23T12:10:13.962065
2025-12-09T08:00:00Z,other,Flaring black hole whips up ultra-fast winds,Spaceflight News API,2025-12-23T12:10:13.962090
2025-12-09T06:36:21Z,launch,"NASA Astronaut Jonny Kim, Crewmates Return from Space Station",Spaceflight News API,2025-12-23T12:10:13.962113
2025-12-09T05:39:45Z,other,Soyuz MS-27 Back on Terra Firma,Spaceflight News API,2025-12-23T12:10:13.962137
2025-12-09T05:13:38Z,other,Senate committee advances Isaacman nomination a second time,Spaceflight News API,2025-12-23T12:10:13.962162
2025-12-09T04:08:14Z,other,New island of inversion found in proton neutron symmetric molybdenum nuclei,Spaceflight News API,2025-12-23T12:10:13.962190
2025-12-09T04:08:14Z,other,Nova images capture complex stellar blast behavior,Spaceflight News API,2025-12-23T12:10:13.962218
2025-12-09T04:08:14Z,other,Record gamma ray burst traced to dusty massive host galaxy,Spaceflight News API,2025-12-23T12:10:13.962246
2025-12-09T04:08:14Z,launch,Neutron Hungry Hippo fairing completes qualification ahead of first launch,Spaceflight News API,2025-12-23T12:10:13.962266
2025-12-09T04:08:14Z,other,AI advances robot navigation on the International Space Station,Spaceflight News API,2025-12-23T12:10:13.962295
2025-12-09T04:08:14Z,policy_or_corporate,RISTRETTO spectrograph cleared for Proxima b atmospheric hunt,Spaceflight News API,2025-12-23T12:10:13.962323
2025-12-09T04:08:14Z,other,Gravitational lens time delays refine Hubble constant,Spaceflight News API,2025-12-23T12:10:13.962351
2025-12-09T04:08:14Z,launch,Private capital targets mission-critical software power and platforms in new space economy,Spaceflight News API,2025-12-23T12:10:13.962373
2025-12-09T01:27:35Z,other,Isaacman’s NASA Nomination Clears Senate Commerce Committee Again,Spaceflight News API,2025-12-23T12:10:13.962406
2025-12-08T22:50:25Z,launch,"Launch Roundup: China, Russia, Rocket Lab, ULA join SpaceX in flying this week",Spaceflight News API,2025-12-23T12:10:13.962429
2025-12-08T21:46:00Z,policy_or_corporate,Pentagon weighs consolidation of DIU tech portfolio,Spaceflight News API,2025-12-23T12:10:13.962451
2025-12-08T20:00:00Z,other,CSF Expands Space Supply Chain Council with Four New Member Companies,Spaceflight News API,2025-12-23T12:10:13.962484
2025-12-08T18:07:04Z,launch,"XRISM Finds Chlorine, Potassium in Cas A",Spaceflight News API,2025-12-23T12:10:13.962506
2025-12-08T16:18:05Z,policy_or_corporate,How Spain and Poland pushed Europe’s new priorities with record contributions,Spaceflight News API,2025-12-23T12:10:13.962536
2025-12-08T14:00:00Z,launch,Beyond the horizon: cost-driven strategies for space-based data centers,Spaceflight News API,2025-12-23T12:10:13.962558
2025-12-08T13:36:00Z,launch,Galileo launch history,Spaceflight News API,2025-12-23T12:10:13.962575
2025-12-08T12:29:04Z,other,Study quantifies costs of EU Space Act to European and U.S. companies,Spaceflight News API,2025-12-23T12:10:13.962601
